Alert ID,Ticker,Description,Time
88716582,"NSE:BANKNIFTY, 1m","BANKNIFTY, 1 Crossing Up CPR BY KGS TRICKS PDH Buy: 21576.5",2020-08-05T08:57:49.000Z
88716582,"NSE:BANKNIFTY, 1m","BANKNIFTY, 1 Crossing Up CPR BY KGS TRICKS PDH Buy: 21580.9",2020-08-05T08:45:00.000Z
88716582,"NSE:BANKNIFTY, 1m","BANKNIFTY, 1 Crossing Up CPR BY KGS TRICKS PDH Buy: 21576.4",2020-08-05T08:44:57.000Z
88716582,"NSE:BANKNIFTY, 1m","BANKNIFTY, 1 Crossing Up CPR BY KGS TRICKS PDH Buy: 21580.9",2020-08-05T08:43:37.000Z
88716582,"NSE:BANKNIFTY, 1m","BANKNIFTY, 1 Crossing Up CPR BY KGS TRICKS PDH Buy: 21576.55",2020-08-05T08:42:21.000Z
88716582,"NSE:BANKNIFTY, 1m","BANKNIFTY, 1 Crossing Up CPR BY KGS TRICKS PDH Buy: 21578.3",2020-08-05T08:41:02.000Z
88716582,"NSE:BANKNIFTY, 1m","BANKNIFTY, 1 Crossing Up CPR BY KGS TRICKS PDH Buy: 21580.1",2020-08-05T08:35:15.000Z
88716582,"NSE:BANKNIFTY, 1m","BANKNIFTY, 1 Crossing Up CPR BY KGS TRICKS PDH Buy: 21576.95",2020-08-05T08:31:41.000Z
88716582,"NSE:BANKNIFTY, 1m","BANKNIFTY, 1 Crossing Up CPR BY KGS TRICKS PDH Buy: 21576.65",2020-08-05T08:30:06.000Z
88716582,"NSE:BANKNIFTY, 1m","BANKNIFTY, 1 Crossing Up CPR BY KGS TRICKS PDH Buy: 21577.5",2020-08-05T08:18:26.000Z
88716582,"NSE:BANKNIFTY, 1m","BANKNIFTY, 1 Crossing Up CPR BY KGS TRICKS PDH Buy: 21578.05",2020-08-05T08:12:01.000Z
88716582,"NSE:BANKNIFTY, 1m","BANKNIFTY, 1 Crossing Up CPR BY KGS TRICKS PDH Buy: 21577.65",2020-08-05T08:11:55.000Z
88716582,"NSE:BANKNIFTY, 1m","BANKNIFTY, 1 Crossing Up CPR BY KGS TRICKS PDH Buy: 21577.1",2020-08-05T08:10:20.000Z
88716582,"NSE:BANKNIFTY, 1m","BANKNIFTY, 1 Crossing Up CPR BY KGS TRICKS PDH Buy: 21576.95",2020-08-05T08:09:32.000Z
88716582,"NSE:BANKNIFTY, 1m","BANKNIFTY, 1 Crossing Up CPR BY KGS TRICKS PDH Buy: 21579.15",2020-08-05T08:04:22.000Z
88716582,"NSE:BANKNIFTY, 1m","BANKNIFTY, 1 Crossing Up CPR BY KGS TRICKS PDH Buy: 21576.45",2020-08-05T08:03:08.000Z
